weapon,tier,direction,animation,frame,pixels,components,minX,minY,maxX,maxY,boundsWidth,boundsHeight,boundsArea,edgeSides,discardedPixels,characterDistance,expressionOverlapPixels
dagger,tier2,up,attack,1,12,1,6,6,8,12,3,7,21,,0,0,0
dagger,tier2,up,attack,2,12,1,5,6,7,12,3,7,21,,0,0,0
dagger,tier2,up,attack,3,12,1,5,10,7,16,3,7,21,,0,0,0
dagger,tier2,up,hurt,0,12,1,6,10,8,16,3,7,21,,0,0,0
dagger,tier2,up,hurt,1,12,1,5,10,7,16,3,7,21,,0,0,0
dagger,tier3,down,idle,0,12,1,16,9,18,15,3,7,21,,0,0,0
dagger,tier3,down,idle,1,12,1,16,10,18,16,3,7,21,,0,0,0
dagger,tier3,down,walk,0,12,1,16,10,18,16,3,7,21,,0,0,0
dagger,tier3,down,walk,1,12,1,16,10,18,16,3,7,21,,0,0,0
dagger,tier3,down,walk,2,12,1,16,8,18,14,3,7,21,,0,0,0
dagger,tier3,down,walk,3,12,1,16,10,18,16,3,7,21,,0,0,0
dagger,tier3,down,attack,0,12,1,16,8,18,14,3,7,21,,0,0,0
dagger,tier3,down,attack,1,12,1,15,12,17,18,3,7,21,,0,0,0
dagger,tier3,down,attack,2,12,1,16,12,18,18,3,7,21,,0,0,0
dagger,tier3,down,attack,3,12,1,16,9,18,15,3,7,21,,0,0,0
dagger,tier3,down,hurt,0,12,1,15,9,17,15,3,7,21,,0,0,0
dagger,tier3,down,hurt,1,12,1,16,9,18,15,3,7,21,,0,0,0
dagger,tier3,left,idle,0,12,1,5,10,7,16,3,7,21,,0,1,0
dagger,tier3,left,idle,1,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier3,left,walk,0,12,1,5,9,7,15,3,7,21,,0,1,0
dagger,tier3,left,walk,1,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier3,left,walk,2,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier3,left,walk,3,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier3,left,attack,0,12,1,5,7,7,13,3,7,21,,0,1,0
dagger,tier3,left,attack,1,12,1,4,13,10,15,7,3,21,,0,0,0
dagger,tier3,left,attack,2,12,1,4,12,10,14,7,3,21,,0,0,0
dagger,tier3,left,attack,3,12,1,5,10,7,16,3,7,21,,0,1,0
dagger,tier3,left,hurt,0,12,1,5,11,7,17,3,7,21,,0,1,0
dagger,tier3,left,hurt,1,12,1,5,10,7,16,3,7,21,,0,1,0
dagger,tier3,right,idle,0,12,1,16,10,18,16,3,7,21,,0,1,0
dagger,tier3,right,idle,1,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier3,right,walk,0,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier3,right,walk,1,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier3,right,walk,2,12,1,16,9,18,15,3,7,21,,0,1,0
dagger,tier3,right,walk,3,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier3,right,attack,0,12,1,16,7,18,13,3,7,21,,0,1,0
dagger,tier3,right,attack,1,12,1,13,13,19,15,7,3,21,,0,0,0
dagger,tier3,right,attack,2,12,1,13,12,19,14,7,3,21,,0,0,0
dagger,tier3,right,attack,3,12,1,16,10,18,16,3,7,21,,0,1,0
dagger,tier3,right,hurt,0,12,1,16,11,18,17,3,7,21,,0,1,0
dagger,tier3,right,hurt,1,12,1,16,10,18,16,3,7,21,,0,1,0
dagger,tier3,up,idle,0,12,1,5,10,7,16,3,7,21,,0,0,0
dagger,tier3,up,idle,1,12,1,5,11,7,17,3,7,21,,0,0,0
dagger,tier3,up,walk,0,12,1,5,11,7,17,3,7,21,,0,0,0
dagger,tier3,up,walk,1,12,1,5,11,7,17,3,7,21,,0,0,0
dagger,tier3,up,walk,2,12,1,5,9,7,15,3,7,21,,0,0,0
dagger,tier3,up,walk,3,12,1,5,11,7,17,3,7,21,,0,0,0
dagger,tier3,up,attack,0,12,1,5,12,7,18,3,7,21,,0,0,0
dagger,tier3,up,attack,1,12,1,6,6,8,12,3,7,21,,0,0,0
dagger,tier3,up,attack,2,12,1,5,6,7,12,3,7,21,,0,0,0
dagger,tier3,up,attack,3,12,1,5,10,7,16,3,7,21,,0,0,0
dagger,tier3,up,hurt,0,12,1,6,10,8,16,3,7,21,,0,0,0
dagger,tier3,up,hurt,1,12,1,5,10,7,16,3,7,21,,0,0,0
dagger,tier4,down,idle,0,15,1,16,8,18,16,3,9,27,,0,0,0
dagger,tier4,down,idle,1,15,1,16,9,18,17,3,9,27,,0,0,0
dagger,tier4,down,walk,0,15,1,16,9,18,17,3,9,27,,0,0,0
dagger,tier4,down,walk,1,15,1,16,9,18,17,3,9,27,,0,0,0
dagger,tier4,down,walk,2,15,1,16,7,18,15,3,9,27,,0,0,0
dagger,tier4,down,walk,3,15,1,16,9,18,17,3,9,27,,0,0,0
dagger,tier4,down,attack,0,15,1,16,7,18,15,3,9,27,,0,0,0
dagger,tier4,down,attack,1,15,1,15,11,17,19,3,9,27,,0,0,0
dagger,tier4,down,attack,2,15,1,16,11,18,19,3,9,27,,0,0,0
dagger,tier4,down,attack,3,15,1,16,8,18,16,3,9,27,,0,0,0
dagger,tier4,down,hurt,0,15,1,15,8,17,16,3,9,27,,0,0,0
dagger,tier4,down,hurt,1,15,1,16,8,18,16,3,9,27,,0,0,0
dagger,tier4,left,idle,0,15,1,5,9,7,17,3,9,27,,0,1,0
dagger,tier4,left,idle,1,15,1,5,10,7,18,3,9,27,,0,1,0
dagger,tier4,left,walk,0,15,1,5,8,7,16,3,9,27,,0,1,0
dagger,tier4,left,walk,1,15,1,5,10,7,18,3,9,27,,0,1,0
dagger,tier4,left,walk,2,15,1,5,10,7,18,3,9,27,,0,1,0
dagger,tier4,left,walk,3,15,1,5,10,7,18,3,9,27,,0,1,0
dagger,tier4,left,attack,0,15,1,5,6,7,14,3,9,27,,0,1,0
dagger,tier4,left,attack,1,15,1,3,13,11,15,9,3,27,,0,0,0
dagger,tier4,left,attack,2,15,1,3,12,11,14,9,3,27,,0,0,0
dagger,tier4,left,attack,3,15,1,5,9,7,17,3,9,27,,0,1,0
dagger,tier4,left,hurt,0,15,1,5,10,7,18,3,9,27,,0,1,0
dagger,tier4,left,hurt,1,15,1,5,9,7,17,3,9,27,,0,1,0
dagger,tier4,right,idle,0,15,1,16,9,18,17,3,9,27,,0,1,0
dagger,tier4,right,idle,1,15,1,16,10,18,18,3,9,27,,0,1,0
dagger,tier4,right,walk,0,15,1,16,10,18,18,3,9,27,,0,1,0
dagger,tier4,right,walk,1,15,1,16,10,18,18,3,9,27,,0,1,0
dagger,tier4,right,walk,2,15,1,16,8,18,16,3,9,27,,0,1,0
dagger,tier4,right,walk,3,15,1,16,10,18,18,3,9,27,,0,1,0
dagger,tier4,right,attack,0,15,1,16,6,18,14,3,9,27,,0,1,0
dagger,tier4,right,attack,1,15,1,12,13,20,15,9,3,27,,0,0,0
dagger,tier4,right,attack,2,15,1,12,12,20,14,9,3,27,,0,0,0
dagger,tier4,right,attack,3,15,1,16,9,18,17,3,9,27,,0,1,0
dagger,tier4,right,hurt,0,15,1,16,10,18,18,3,9,27,,0,1,0
dagger,tier4,right,hurt,1,15,1,16,9,18,17,3,9,27,,0,1,0
dagger,tier4,up,idle,0,15,1,5,9,7,17,3,9,27,,0,0,0
dagger,tier4,up,idle,1,15,1,5,10,7,18,3,9,27,,0,0,0
dagger,tier4,up,walk,0,15,1,5,10,7,18,3,9,27,,0,0,0
dagger,tier4,up,walk,1,15,1,5,10,7,18,3,9,27,,0,0,0
dagger,tier4,up,walk,2,15,1,5,8,7,16,3,9,27,,0,0,0
dagger,tier4,up,walk,3,15,1,5,10,7,18,3,9,27,,0,0,0
dagger,tier4,up,attack,0,15,1,5,11,7,19,3,9,27,,0,0,0
dagger,tier4,up,attack,1,15,1,6,5,8,13,3,9,27,,0,0,0
dagger,tier4,up,attack,2,15,1,5,5,7,13,3,9,27,,0,0,0
dagger,tier4,up,attack,3,15,1,5,9,7,17,3,9,27,,0,0,0
dagger,tier4,up,hurt,0,15,1,6,9,8,17,3,9,27,,0,0,0
dagger,tier4,up,hurt,1,15,1,5,9,7,17,3,9,27,,0,0,0
dagger,tier5,down,idle,0,19,1,15,8,19,16,5,9,45,,0,0,0
dagger,tier5,down,idle,1,19,1,15,9,19,17,5,9,45,,0,0,0
dagger,tier5,down,walk,0,19,1,15,9,19,17,5,9,45,,0,0,0
dagger,tier5,down,walk,1,19,1,15,9,19,17,5,9,45,,0,0,0
dagger,tier5,down,walk,2,19,1,15,7,19,15,5,9,45,,0,0,0
dagger,tier5,down,walk,3,19,1,15,9,19,17,5,9,45,,0,0,0
dagger,tier5,down,attack,0,19,1,15,7,19,15,5,9,45,,0,0,0
dagger,tier5,down,attack,1,19,1,14,11,18,19,5,9,45,,0,0,0
dagger,tier5,down,attack,2,19,1,15,11,19,19,5,9,45,,0,0,0
dagger,tier5,down,attack,3,19,1,15,8,19,16,5,9,45,,0,0,0
dagger,tier5,down,hurt,0,19,1,14,8,18,16,5,9,45,,0,0,0
dagger,tier5,down,hurt,1,19,1,15,8,19,16,5,9,45,,0,0,0
dagger,tier5,left,idle,0,19,1,4,9,8,17,5,9,45,,0,1,0
dagger,tier5,left,idle,1,19,1,4,10,8,18,5,9,45,,0,1,0
dagger,tier5,left,walk,0,19,1,4,8,8,16,5,9,45,,0,1,0
dagger,tier5,left,walk,1,19,1,4,10,8,18,5,9,45,,0,1,0
dagger,tier5,left,walk,2,19,1,4,10,8,18,5,9,45,,0,1,0
dagger,tier5,left,walk,3,19,1,4,10,8,18,5,9,45,,0,1,0
dagger,tier5,left,attack,0,19,1,4,6,8,14,5,9,45,,0,1,0
dagger,tier5,left,attack,1,19,1,3,12,11,16,9,5,45,,0,0,0
dagger,tier5,left,attack,2,19,1,3,11,11,15,9,5,45,,0,0,0
dagger,tier5,left,attack,3,19,1,4,9,8,17,5,9,45,,0,1,0
dagger,tier5,left,hurt,0,19,1,4,10,8,18,5,9,45,,0,1,0
dagger,tier5,left,hurt,1,19,1,4,9,8,17,5,9,45,,0,1,0
dagger,tier5,right,idle,0,19,1,15,9,19,17,5,9,45,,0,1,0
dagger,tier5,right,idle,1,19,1,15,10,19,18,5,9,45,,0,1,0
dagger,tier5,right,walk,0,19,1,15,10,19,18,5,9,45,,0,1,0
dagger,tier5,right,walk,1,19,1,15,10,19,18,5,9,45,,0,1,0
dagger,tier5,right,walk,2,19,1,15,8,19,16,5,9,45,,0,1,0
dagger,tier5,right,walk,3,19,1,15,10,19,18,5,9,45,,0,1,0
dagger,tier5,right,attack,0,19,1,15,6,19,14,5,9,45,,0,1,0
dagger,tier5,right,attack,1,19,1,12,12,20,16,9,5,45,,0,0,0
dagger,tier5,right,attack,2,19,1,12,11,20,15,9,5,45,,0,0,0
dagger,tier5,right,attack,3,19,1,15,9,19,17,5,9,45,,0,1,0
dagger,tier5,right,hurt,0,19,1,15,10,19,18,5,9,45,,0,1,0
dagger,tier5,right,hurt,1,19,1,15,9,19,17,5,9,45,,0,1,0
dagger,tier5,up,idle,0,19,1,4,9,8,17,5,9,45,,0,0,0
dagger,tier5,up,idle,1,19,1,4,10,8,18,5,9,45,,0,0,0
dagger,tier5,up,walk,0,19,1,4,10,8,18,5,9,45,,0,0,0
dagger,tier5,up,walk,1,19,1,4,10,8,18,5,9,45,,0,0,0
dagger,tier5,up,walk,2,19,1,4,8,8,16,5,9,45,,0,0,0
dagger,tier5,up,walk,3,19,1,4,10,8,18,5,9,45,,0,0,0
dagger,tier5,up,attack,0,19,1,4,11,8,19,5,9,45,,0,0,0
dagger,tier5,up,attack,1,19,1,5,5,9,13,5,9,45,,0,0,0
dagger,tier5,up,attack,2,19,1,4,5,8,13,5,9,45,,0,0,0
dagger,tier5,up,attack,3,19,1,4,9,8,17,5,9,45,,0,0,0
dagger,tier5,up,hurt,0,19,1,5,9,9,17,5,9,45,,0,0,0
dagger,tier5,up,hurt,1,19,1,4,9,8,17,5,9,45,,0,0,0
axe,tier1,down,idle,0,16,1,17,6,19,14,3,9,27,,0,0,0
axe,tier1,down,idle,1,16,1,17,7,19,15,3,9,27,,0,0,0
axe,tier1,down,walk,0,16,1,17,7,19,15,3,9,27,,0,0,0
axe,tier1,down,walk,1,16,1,17,7,19,15,3,9,27,,0,0,0
axe,tier1,down,walk,2,16,1,17,5,19,13,3,9,27,,0,0,0
axe,tier1,down,walk,3,16,1,17,7,19,15,3,9,27,,0,0,0
axe,tier1,down,attack,0,16,1,17,4,19,12,3,9,27,,0,0,0
axe,tier1,down,attack,1,16,1,16,14,18,22,3,9,27,,0,0,0
axe,tier1,down,attack,2,16,1,17,14,19,22,3,9,27,,0,0,0
axe,tier1,down,attack,3,16,1,17,6,19,14,3,9,27,,0,0,0
axe,tier1,down,hurt,0,16,1,16,6,18,14,3,9,27,,0,0,0
axe,tier1,down,hurt,1,16,1,17,6,19,14,3,9,27,,0,0,0
axe,tier1,left,idle,0,16,1,4,6,6,14,3,9,27,,0,1,0
axe,tier1,left,idle,1,16,1,4,7,6,15,3,9,27,,0,1,0
axe,tier1,left,walk,0,16,1,4,5,6,13,3,9,27,,0,1,0
axe,tier1,left,walk,1,16,1,4,7,6,15,3,9,27,,0,1,0
axe,tier1,left,walk,2,16,1,4,7,6,15,3,9,27,,0,1,0
axe,tier1,left,walk,3,16,1,4,7,6,15,3,9,27,,0,1,0
axe,tier1,left,attack,0,16,1,4,4,6,12,3,9,27,,0,1,0
axe,tier1,left,attack,1,16,1,1,12,9,14,9,3,27,,0,0,0
axe,tier1,left,attack,2,16,1,1,11,9,13,9,3,27,,0,0,0
axe,tier1,left,attack,3,16,1,4,6,6,14,3,9,27,,0,1,0
axe,tier1,left,hurt,0,16,1,4,7,6,15,3,9,27,,0,1,0
axe,tier1,left,hurt,1,16,1,4,6,6,14,3,9,27,,0,1,0
axe,tier1,right,idle,0,16,1,17,6,19,14,3,9,27,,0,1,0
axe,tier1,right,idle,1,16,1,17,7,19,15,3,9,27,,0,1,0
axe,tier1,right,walk,0,16,1,17,7,19,15,3,9,27,,0,1,0
axe,tier1,right,walk,1,16,1,17,7,19,15,3,9,27,,0,1,0
axe,tier1,right,walk,2,16,1,17,5,19,13,3,9,27,,0,1,0
axe,tier1,right,walk,3,16,1,17,7,19,15,3,9,27,,0,1,0
axe,tier1,right,attack,0,16,1,17,4,19,12,3,9,27,,0,1,0
axe,tier1,right,attack,1,16,1,14,12,22,14,9,3,27,,0,0,0
axe,tier1,right,attack,2,16,1,14,11,22,13,9,3,27,,0,0,0
axe,tier1,right,attack,3,16,1,17,6,19,14,3,9,27,,0,1,0
axe,tier1,right,hurt,0,16,1,17,7,19,15,3,9,27,,0,1,0
axe,tier1,right,hurt,1,16,1,17,6,19,14,3,9,27,,0,1,0
axe,tier1,up,idle,0,16,1,4,7,6,15,3,9,27,,0,0,0
axe,tier1,up,idle,1,16,1,4,8,6,16,3,9,27,,0,0,0
axe,tier1,up,walk,0,16,1,4,8,6,16,3,9,27,,0,0,0
axe,tier1,up,walk,1,16,1,4,8,6,16,3,9,27,,0,0,0
axe,tier1,up,walk,2,16,1,4,6,6,14,3,9,27,,0,0,0
axe,tier1,up,walk,3,16,1,4,8,6,16,3,9,27,,0,0,0
axe,tier1,up,attack,0,16,1,4,5,6,13,3,9,27,,0,0,0
axe,tier1,up,attack,1,17,1,5,1,7,10,3,10,30,,0,1,0
axe,tier1,up,attack,2,17,1,4,1,6,10,3,10,30,,0,2,0
axe,tier1,up,attack,3,16,1,4,7,6,15,3,9,27,,0,0,0
axe,tier1,up,hurt,0,16,1,5,7,7,15,3,9,27,,0,0,0
axe,tier1,up,hurt,1,16,1,4,7,6,15,3,9,27,,0,0,0
axe,tier2,down,idle,0,22,1,15,6,19,14,5,9,45,,0,0,0
axe,tier2,down,idle,1,22,1,15,7,19,15,5,9,45,,0,0,0
axe,tier2,down,walk,0,22,1,15,7,19,15,5,9,45,,0,0,0
axe,tier2,down,walk,1,22,1,15,7,19,15,5,9,45,,0,0,0
axe,tier2,down,walk,2,22,1,15,5,19,13,5,9,45,,0,0,0
axe,tier2,down,walk,3,22,1,15,7,19,15,5,9,45,,0,0,0
axe,tier2,down,attack,0,22,1,15,4,19,12,5,9,45,,0,0,0
axe,tier2,down,attack,1,22,1,14,14,18,22,5,9,45,,0,0,0
axe,tier2,down,attack,2,22,1,15,14,19,22,5,9,45,,0,0,0
axe,tier2,down,attack,3,22,1,15,6,19,14,5,9,45,,0,0,0
axe,tier2,down,hurt,0,22,1,14,6,18,14,5,9,45,,0,0,0
axe,tier2,down,hurt,1,22,1,15,6,19,14,5,9,45,,0,0,0
axe,tier2,left,idle,0,22,1,4,6,8,14,5,9,45,,0,0,0
axe,tier2,left,idle,1,22,1,4,7,8,15,5,9,45,,0,0,0
axe,tier2,left,walk,0,22,1,4,5,8,13,5,9,45,,0,0,0
axe,tier2,left,walk,1,22,1,4,7,8,15,5,9,45,,0,0,0
axe,tier2,left,walk,2,22,1,4,7,8,15,5,9,45,,0,0,0
axe,tier2,left,walk,3,22,1,4,7,8,15,5,9,45,,0,0,0
axe,tier2,left,attack,0,22,1,4,4,8,12,5,9,45,,0,0,0
axe,tier2,left,attack,1,22,1,1,12,9,16,9,5,45,,0,0,0
axe,tier2,left,attack,2,22,1,1,11,9,15,9,5,45,,0,0,0
axe,tier2,left,attack,3,22,1,4,6,8,14,5,9,45,,0,0,0
axe,tier2,left,hurt,0,22,1,4,7,8,15,5,9,45,,0,0,0
axe,tier2,left,hurt,1,22,1,4,6,8,14,5,9,45,,0,0,0
axe,tier2,right,idle,0,22,1,15,6,19,14,5,9,45,,0,0,0
axe,tier2,right,idle,1,22,1,15,7,19,15,5,9,45,,0,0,0
axe,tier2,right,walk,0,22,1,15,7,19,15,5,9,45,,0,0,0
axe,tier2,right,walk,1,22,1,15,7,19,15,5,9,45,,0,0,0
axe,tier2,right,walk,2,22,1,15,5,19,13,5,9,45,,0,0,0
axe,tier2,right,walk,3,22,1,15,7,19,15,5,9,45,,0,0,0
axe,tier2,right,attack,0,22,1,15,4,19,12,5,9,45,,0,0,0
axe,tier2,right,attack,1,22,1,14,12,22,16,9,5,45,,0,0,0
axe,tier2,right,attack,2,22,1,14,11,22,15,9,5,45,,0,0,0
axe,tier2,right,attack,3,22,1,15,6,19,14,5,9,45,,0,0,0
axe,tier2,right,hurt,0,22,1,15,7,19,15,5,9,45,,0,0,0
axe,tier2,right,hurt,1,22,1,15,6,19,14,5,9,45,,0,0,0
axe,tier2,up,idle,0,22,1,4,7,8,15,5,9,45,,0,0,0
axe,tier2,up,idle,1,22,1,4,8,8,16,5,9,45,,0,0,0
axe,tier2,up,walk,0,22,1,4,8,8,16,5,9,45,,0,0,0
axe,tier2,up,walk,1,22,1,4,8,8,16,5,9,45,,0,0,0
axe,tier2,up,walk,2,22,1,4,6,8,14,5,9,45,,0,0,0
axe,tier2,up,walk,3,22,1,4,8,8,16,5,9,45,,0,0,0
axe,tier2,up,attack,0,22,1,4,5,8,13,5,9,45,,0,0,0
axe,tier2,up,attack,1,23,1,5,1,9,10,5,10,50,,0,0,0
axe,tier2,up,attack,2,23,1,4,1,8,10,5,10,50,,0,0,0
axe,tier2,up,attack,3,22,1,4,7,8,15,5,9,45,,0,0,0
axe,tier2,up,hurt,0,22,1,5,7,9,15,5,9,45,,0,0,0
axe,tier2,up,hurt,1,22,1,4,7,8,15,5,9,45,,0,0,0
axe,tier3,down,idle,0,28,1,15,5,20,14,6,10,60,,0,0,0
axe,tier3,down,idle,1,28,1,15,6,20,15,6,10,60,,0,0,0
axe,tier3,down,walk,0,28,1,15,6,20,15,6,10,60,,0,0,0
axe,tier3,down,walk,1,28,1,15,6,20,15,6,10,60,,0,0,0
axe,tier3,down,walk,2,28,1,15,4,20,13,6,10,60,,0,0,0
axe,tier3,down,walk,3,28,1,15,6,20,15,6,10,60,,0,0,0
axe,tier3,down,attack,0,28,1,15,3,20,12,6,10,60,,0,0,0
axe,tier3,down,attack,1,27,1,14,14,19,23,6,10,60,bottom,0,0,0
axe,tier3,down,attack,2,27,1,15,14,20,23,6,10,60,bottom,0,0,0
axe,tier3,down,attack,3,28,1,15,5,20,14,6,10,60,,0,0,0
